id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
229,遗愿清单,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg,美国,2007, 罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson,8.6,用剩余不多的时间，去燃烧整个生命。,冒险/喜剧/剧情,
230,步履不停,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561539680.jpg,日本,2008, 是枝裕和 Hirokazu Koreeda, 阿部宽 Hiroshi Abe,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,剧情/家庭,
231,彗星来的那一夜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg,美国 英国,2013, 詹姆斯·沃德·布柯特 James Ward Byrkit, 艾米丽·芭尔多尼 Em...,8.5,小成本大魅力。,科幻/悬疑/惊悚,
232,大佛普拉斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg,中国台湾,2017, 黄信尧 Hsin-yao Huang, 庄益增 Yizeng Zhuang,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,剧情/喜剧/犯罪,
233,疯狂的麦克斯4：狂暴之路,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,澳大利亚 美国,2015, 乔治·米勒 George Miller, 汤姆·哈迪 Tom Hardy,8.6,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,动作/科幻/冒险,
234,小萝莉的猴神大叔,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg,印度,2015, 卡比尔·汗 Kabir Khan, 萨尔曼·汗 Salman Khan,8.4,宝莱坞的萝莉与大叔。,剧情/喜剧/动作,
235,再次出发之纽约遇见你,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg,美国,2013, 约翰·卡尼 John Carney, 凯拉·奈特莉 Keira Knightley,8.5,爱我就给我看你的播放列表。,喜剧/爱情/音乐,
236,聚焦,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg,美国,2015, 托马斯·麦卡锡 Thomas McCarthy, 马克·鲁弗洛 Mark Ruffalo,8.8,新闻人的理性求真。,剧情/传记,
237,驴得水,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg,中国大陆,2016, 周申 Shen Zhou, 周申 Shen Zhou,8.3,过去的如果就让它过去了，未来只会越来越糟！,剧情/喜剧,
238,追随,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561545031.jpg,英国,1998, 克里斯托弗·诺兰 Christopher Nolan, 杰里米·西奥伯德 Jeremy...,8.9,诺兰的牛逼来源于内心散发出的恐惧。,犯罪/悬疑/惊悚,
239,东京物语,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1925331564.jpg,日本,1953, 小津安二郎 Yasujirô Ozu, 笠智众 Chishû Ryû,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,剧情/家庭,
240,一次别离,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg,伊朗 法国,2011, 阿斯哈·法哈蒂  Asghar Farhadi, 佩曼·莫阿迪 Peyman Moadi,8.7,只有有信仰的人才能说出事实真相。,剧情/家庭,
